Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_1206_3216Metric",99.060000,-48.668200,-90.000000,top
"C2","100n","C_0603_1608Metric",92.595400,-46.939200,0.000000,top
"C3","100n","C_0603_1608Metric",95.948200,-46.939200,180.000000,top
"C4","100n","C_0603_1608Metric",95.250000,-49.466200,-90.000000,top
"C5","100n","C_0603_1608Metric",96.926400,-49.492200,-90.000000,top
"C6","100n","C_0603_1608Metric",93.573600,-49.441400,-90.000000,top
"C7","100n","C_0603_1608Metric",91.795600,-49.441400,-90.000000,top
"C8","12p","C_0402_1005Metric",94.206000,-45.618400,0.000000,top
"C9","12p","C_0402_1005Metric",94.843600,-40.944800,0.000000,top
"C12","100n","C_0603_1608Metric",105.435400,-40.005000,90.000000,top
"C13","100n","C_0603_1608Metric",107.022900,-39.992000,90.000000,top
"C14","100n","C_0603_1608Metric",139.598400,-39.992000,90.000000,top
"C15","100n","C_0603_1608Metric",141.249400,-39.992000,90.000000,top
"C16","100n","C_0603_1608Metric",71.932800,-40.017400,90.000000,top
"C17","100n","C_0603_1608Metric",70.358000,-40.017400,90.000000,top
"C18","10u","C_0805_2012Metric",130.266400,-50.749200,0.000000,top
"C19","10u","C_0805_2012Metric",116.078000,-45.146000,90.000000,top
"D1","LED","LED_0603_1608Metric",92.532100,-51.968400,180.000000,top
"FB1","GZ2012D101TF","L_0805_2012Metric",129.286000,-47.248300,90.000000,top
"J1","Conn_01x04_Male","JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical",105.736000,-48.768000,0.000000,top
"Q1","IRLML6402TRPBF","SOT-23",132.435600,-47.260000,-90.000000,top
"R1","47","R_0402_1005Metric",91.541600,-44.041600,90.000000,top
"R2","1k5","R_0402_1005Metric",96.420400,-51.968400,180.000000,top
"U1","STM32G030C8T6","LQFP-48_7x7mm_P0.5mm",85.293200,-45.974000,180.000000,top
"U3","LIS2DW12TR","LGA-12_2x2mm_P0.5mm",103.314500,-42.989500,0.000000,top
"U4","LIS2DW12TR","LGA-12_2x2mm_P0.5mm",138.303000,-42.989500,0.000000,top
"U5","LIS2DW12TR","LGA-12_2x2mm_P0.5mm",68.262500,-42.989500,0.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",124.307600,-47.498400,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",94.335600,-43.281600,0.000000,top
